date,sector,close,daily_return_pct
2026-07-01,航運,183.82,-0.74
2026-07-01,觀光餐旅,103.01,-0.11
2026-07-01,貿易百貨,234.24,-0.33
2026-07-01,資訊服務,202.76,-0.99
2026-07-01,通信網路,258.42,1.98
2026-07-01,造紙,266.94,-0.91
2026-07-01,運動休閒,58.38,0.15
2026-07-01,金融保險,3065.67,-1.71
2026-07-01,鋼鐵,116.24,0.21
2026-07-01,電器電纜,106.21,-2.04
2026-07-01,電子通路,374.57,0.1
2026-07-01,電子零組件,1006.89,0.72
2026-07-01,電機機械,561.41,0.71
2026-07-01,電腦及週邊設備,406.97,1.27
2026-07-01,食品,1924.62,0.07
2026-07-02,光電,71.69,0.9
2026-07-02,其他,275.26,-0.15
2026-07-02,其他電子,276.68,-1.9
2026-07-02,化學,207.51,2.49
2026-07-02,化學生技醫療,170.52,1.31
2026-07-02,半導體,1605.83,-1.0
2026-07-02,塑膠,338.83,8.09
2026-07-02,居家生活,102.69,4.65
2026-07-02,建材營造,457.18,-0.33
2026-07-02,數位雲端,44.07,1.38
2026-07-02,橡膠,192.07,3.82
2026-07-02,水泥,120.96,1.63
2026-07-02,汽車,293.35,0.57
2026-07-02,油電燃氣,82.67,5.88
2026-07-02,玻璃陶瓷,165.18,-0.81
2026-07-02,生技醫療,94.59,0.78
2026-07-02,紡織纖維,496.16,2.1
2026-07-02,綠能環保,143.11,1.38
2026-07-02,航運,183.72,-0.05
2026-07-02,觀光餐旅,102.8,-0.2
2026-07-02,貿易百貨,238.08,1.64
2026-07-02,資訊服務,206.75,1.97
2026-07-02,通信網路,262.02,1.39
2026-07-02,造紙,272.95,2.25
2026-07-02,運動休閒,56.94,-2.47
2026-07-02,金融保險,3033.12,-1.06
2026-07-02,鋼鐵,115.8,-0.38
2026-07-02,電器電纜,105.36,-0.8
2026-07-02,電子通路,378.59,1.07
2026-07-02,電子零組件,992.57,-1.42
2026-07-02,電機機械,563.7,0.41
2026-07-02,電腦及週邊設備,412.35,1.32
2026-07-02,食品,1931.65,0.37
2026-07-03,光電,70.99,-0.98
2026-07-03,其他,279.91,1.69
2026-07-03,其他電子,278.53,0.67
2026-07-03,化學,215.03,3.62
2026-07-03,化學生技醫療,174.12,2.11
2026-07-03,半導體,1587.68,-1.13
2026-07-03,塑膠,347.38,2.52
2026-07-03,居家生活,100.98,-1.67
2026-07-03,建材營造,463.45,1.37
2026-07-03,數位雲端,45.09,2.31
2026-07-03,橡膠,197.54,2.85
2026-07-03,水泥,122.72,1.46
2026-07-03,汽車,301.67,2.84
2026-07-03,油電燃氣,84.43,2.13
2026-07-03,玻璃陶瓷,162.17,-1.82
2026-07-03,生技醫療,95.92,1.41
2026-07-03,紡織纖維,514.03,3.6
2026-07-03,綠能環保,145.34,1.56
2026-07-03,航運,190.1,3.47
2026-07-03,觀光餐旅,103.55,0.73
2026-07-03,貿易百貨,240.1,0.85
2026-07-03,資訊服務,208.71,0.95
2026-07-03,通信網路,262.21,0.07
2026-07-03,造紙,281.7,3.21
2026-07-03,運動休閒,58.63,2.97
2026-07-03,金融保險,3066.77,1.11
2026-07-03,鋼鐵,117.75,1.68
2026-07-03,電器電纜,107.78,2.3
2026-07-03,電子通路,383.67,1.34
2026-07-03,電子零組件,1022.84,3.05
2026-07-03,電機機械,570.7,1.24
2026-07-03,電腦及週邊設備,416.32,0.96
2026-07-03,食品,1964.31,1.69
2026-07-06,光電,71.97,1.38
2026-07-06,其他,280.76,0.3
2026-07-06,其他電子,276.44,-0.75
2026-07-06,化學,218.05,1.4
2026-07-06,化學生技醫療,177.35,1.86
2026-07-06,半導體,1589.42,0.11
2026-07-06,塑膠,332.07,-4.41
2026-07-06,居家生活,100.86,-0.12
2026-07-06,建材營造,466.77,0.72
2026-07-06,數位雲端,44.14,-2.11
2026-07-06,橡膠,200.01,1.25
2026-07-06,水泥,123.06,0.28
2026-07-06,汽車,303.4,0.57
2026-07-06,油電燃氣,85.79,1.61
2026-07-06,玻璃陶瓷,160.12,-1.26
2026-07-06,生技醫療,97.91,2.07
2026-07-06,紡織纖維,512.4,-0.32
2026-07-06,綠能環保,145.77,0.3
2026-07-06,航運,190.64,0.28
2026-07-06,觀光餐旅,103.37,-0.17
2026-07-06,貿易百貨,246.83,2.8
2026-07-06,資訊服務,210.79,1.0
2026-07-06,通信網路,258.39,-1.46
2026-07-06,造紙,286.73,1.79
2026-07-06,運動休閒,58.87,0.41
2026-07-06,金融保險,3100.28,1.09
2026-07-06,鋼鐵,117.88,0.11
2026-07-06,電器電纜,110.29,2.33
2026-07-06,電子通路,381.19,-0.65
2026-07-06,電子零組件,977.33,-4.45
2026-07-06,電機機械,574.34,0.64
2026-07-06,電腦及週邊設備,412.96,-0.81
2026-07-06,食品,1991.14,1.37
2026-07-07,光電,67.65,-6.0
2026-07-07,其他,276.77,-1.42
2026-07-07,其他電子,266.91,-3.45
2026-07-07,化學,207.36,-4.9
2026-07-07,化學生技醫療,178.73,0.78
2026-07-07,半導體,1561.91,-1.73
2026-07-07,塑膠,305.0,-8.15
2026-07-07,居家生活,100.61,-0.25
2026-07-07,建材營造,459.78,-1.5
2026-07-07,數位雲端,43.27,-1.97
2026-07-07,橡膠,199.25,-0.38
2026-07-07,水泥,121.86,-0.98
2026-07-07,汽車,298.36,-1.66
2026-07-07,油電燃氣,83.73,-2.4
2026-07-07,玻璃陶瓷,152.79,-4.58
2026-07-07,生技醫療,101.25,3.41
2026-07-07,紡織纖維,511.65,-0.15
2026-07-07,綠能環保,141.4,-3.0
