date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2024-09-27,77.4,66.2,81.4,73.8,88,2.6213,3.0672
2024-09-30,54.0,56.5,70.9,71.5,17.0,0.4016,3.2386
2024-10-01,62.8,60.2,72.3,71.3,47.3,0.4016,3.2386
2024-10-04,62.7,59.4,80.8,70.5,40,0.4016,3.2386
2024-10-07,72.4,68.1,81.0,71.0,69.4,0.4016,3.2386
2024-10-08,63.4,66.6,83.2,68.5,35.1,1.2067,3.2386
2024-10-09,74.2,66.8,81.7,70.9,77.4,1.2067,3.2386
2024-10-11,79.0,80.1,73.8,71.6,90.4,1.2067,3.2386
2024-10-14,75.8,80.5,79.0,72.7,71.0,1.2067,3.2386
2024-10-15,81.7,82.3,75.5,72.2,96.9,1.2067,3.2386
2024-10-16,63.6,81.5,76.1,71.0,25.6,0.8825,3.56
2024-10-17,75.5,83.0,78.9,71.0,69.0,1.4867,3.56
2024-10-18,83.6,83.6,79.2,71.7,100.0,1.4867,4.2768
2024-10-21,80.7,83.3,78.1,73.5,88,1.4867,4.2768
2024-10-22,76.6,83.8,79.4,73.6,69.6,2.5869,4.2768
2024-10-23,67.3,76.2,73.6,72.4,47.2,2.2615,4.2768
2024-10-24,67.4,75.0,74.2,71.6,48.8,2.4343,4.2768
2024-10-25,74.2,75.8,64.1,72.4,84.7,2.4343,4.2768
2024-10-28,73.2,73.6,73.3,72.5,73.2,1.8018,4.2768
2024-10-29,57.4,62.3,74.4,71.8,21.0,0.639,5.1758
2024-10-30,70.0,61.0,78.4,71.6,69.2,0.1768,5.3282
2024-11-01,63.5,61.9,80.5,71.6,40,0.0,5.4827
2024-11-04,71.2,70.9,73.5,71.0,69.1,0.103,5.4827
2024-11-05,76.0,80.2,74.3,72.0,77.6,2.429,5.4827
2024-11-06,77.7,87.8,81.0,72.3,69.9,2.945,5.4827
2024-11-07,78.6,90.2,78.1,72.6,73.6,3.56,5.4827
2024-11-08,78.4,91.6,78.1,72.6,71.3,3.56,5.4827
2024-11-11,76.9,90.5,79.8,72.9,64.4,4.1781,5.3853
2024-11-12,59.0,75.7,70.4,72.9,17.0,1.8938,3.1297
2024-11-13,61.4,73.4,75.4,72.0,24.6,1.3722,2.9888
2024-11-14,64.0,72.1,77.0,71.9,35.1,1.283,2.9888
2024-11-15,72.4,72.3,81.7,71.3,64.4,1.283,2.9888
2024-11-18,64.1,69.0,75.8,71.7,40,1.283,2.9888
2024-11-19,77.1,72.6,76.3,72.4,87.1,1.283,2.9888
2024-11-20,62.6,70.5,75.9,72.0,32.0,2.6738,2.9888
2024-11-21,63.3,69.3,75.0,70.4,38.5,2.8301,2.9888
2024-11-22,76.6,73.8,79.5,71.3,81.8,2.9888,3.2784
2024-11-25,75.6,73.9,82.7,71.4,74.3,2.9888,3.2784
2024-11-26,60.0,70.9,73.0,71.0,25.1,1.8355,3.2784
2024-11-27,57.2,65.8,68.3,70.3,24.2,0.3236,3.2784
2024-11-28,67.1,65.5,79.3,71.6,51.8,0.1632,3.2784
2024-11-29,61.9,65.0,78.0,71.8,32.8,0.3209,3.2784
2024-12-02,78.2,72.0,77.6,71.5,91.6,0.3209,3.2784
2024-12-03,82.0,82.7,76.2,70.6,98.6,0.6367,3.2784
2024-12-04,81.3,85.0,74.5,71.6,94.1,1.5882,3.2784
2024-12-05,76.7,84.5,79.8,69.9,72.5,1.5882,3.2784
2024-12-06,75.3,83.1,79.6,68.5,69.8,1.5882,3.2784
2024-12-09,75.4,83.9,79.9,67.0,70.7,1.5882,3.2784
